LULC=1,LULC=2,LULC=4,LULC=5,LULC=7,LULC=8,LULC=11,LULC_missing,NDVI_missing,Elevation_missing,Slope_missing,Curvature_missing,Aspect_missing,TWI_missing,Drainage_Density_missing,Precipitation_missing,Distance_to_Road_missing,Distance_to_River_missing,SPI_missing,NDVI,Elevation,Slope,Curvature,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI,Aspect_sin,Aspect_cos
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.28939694,7.0,1.3667926,-11.0,6.1330466,0.000175968,3201.1965,4458.27,391.01614,-1.3376371,-0.7346368,-0.6784606
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-0.19250786,6.0,2.2115812,1.0,3.2537634,0.000771402,3296.2961,391.01614,391.01614,-3.2537634,-0.9079074,-0.4191707
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.25932688,4.0,1.0039696,-1.0,4.0435925,0.000324898,3201.1965,1409.8287,391.01614,-4.0435925,-1.0,-1.8369701e-16
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2265141,1.0,2.0075328,-2.0,6.1838393,0.000304056,3201.1965,2737.113,782.0323,-0.517681,-1.0,-1.8369701e-16
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.23978712,5.0,1.3667836,-6.0,6.374215,0.000222456,3201.1965,4301.1777,782.0323,-1.0964898,0.7346327,0.67846507
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.23907493,6.0,2.108304,8.0,4.4002323,0.000337369,3201.1965,0.0,391.01614,-2.203189,0.4759942,-0.8794484
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2580725,0.0,1.3666694,11.0,5.121536,0.000204578,3201.1965,2503.7249,0.0,-2.3492615,-0.7345802,0.6785218
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.25855064,4.0,1.8543341,-3.0,3.4300432,0.000187356,3201.1965,3688.8389,552.98035,-3.4300432,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2662069,1.0,6.802807,8.0,2.1260934,0.000219169,3201.1965,3224.4019,391.01614,-2.1260934,-0.73460877,-0.67849094
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2445296,4.0,1.003899,-4.0,5.6531005,0.000356547,3201.1965,391.01614,0.0,-2.4346812,-1.0,-1.8369701e-16
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2087184,9.0,6.217755,-14.0,2.21679,0.00033164,3201.1965,552.98035,874.3387,-2.21679,0.8042224,0.59432846
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.24442075,4.0,3.1487873,-1.0,2.9000204,0.000239003,3201.1965,2279.9963,0.0,-2.9000204,-0.9557259,-0.2942583
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.21533762,2.0,4.0937123,10.0,2.6369314,0.000420621,3201.1965,1173.0485,552.98035,-2.6369314,-0.7345658,0.6785375
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.24530618,8.0,2.955511,-16.0,2.9634743,0.000219169,3201.1965,3224.4019,391.01614,-2.9634743,-0.33946928,0.94061714
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.21702063,3.0,1.3666413,5.0,3.7352622,0.000395293,3201.1965,1173.0485,391.01614,-3.7352622,-0.7345672,-0.67853594
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.25296146,3.0,0.0,3.0,11.512925,0.000771402,3201.1965,391.01614,391.01614,-11.512925,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.22505955,8.0,2.7802885,4.0,3.7178283,0.000290243,3201.1965,552.98035,782.0323,-2.331637,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.21868664,5.0,5.8952885,-16.0,2.270439,0.000324898,3201.1965,1409.8287,391.01614,-2.270439,0.33942994,-0.94063133
