LULC=1,LULC=2,LULC=4,LULC=5,LULC=7,LULC=8,LULC=11,LULC_missing,NDVI_missing,Elevation_missing,Slope_missing,Curvature_missing,Aspect_missing,TWI_missing,Drainage_Density_missing,Precipitation_missing,Distance_to_Road_missing,Distance_to_River_missing,SPI_missing,NDVI,Elevation,Slope,Curvature,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI,Aspect_sin,Aspect_cos
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8621552,-0.89254653,-0.21949281,0.01060837,1.7109528,-1.472274,0.5670962,-0.21823898,-0.04724688,1.9333992,1.4609138,-0.10785017
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2102401,-1.4557872,-0.15415098,-0.29632032,-0.5763429,-2.2270858,0.2003567,2.6809206,-0.04724688,-0.23400705,0.6983664,1.109546
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0515606,1.6420363,-0.15419479,-3.212143,-0.5763311,-1.6923946,0.2003567,-0.03672257,1.1312975,-0.23401843,-0.68728346,1.1095847
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.350668,-1.1741668,-0.21977198,0.47100142,0.037240725,-2.2680478,0.2003567,3.9186857,0.3476902,0.32179093,1.4609138,-0.10785017
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.1147294,-0.32930592,1.7347695,-0.9101777,-0.8970765,-1.7550197,0.2003567,-0.21823898,0.3476902,0.07480034,1.4609138,-0.10785017
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2007148,-0.32930592,1.1535681,-1.2171063,-0.41773015,-1.5745938,0.2003567,2.0091257,0.3476902,0.39595366,1.423598,0.20361254
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0469697,0.515555,0.9726966,1.0848588,-0.7982828,-1.6923946,0.2003567,-0.03672257,1.1312975,-0.020319803,0.38570035,-1.4441099
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.389449,-0.6109262,-1.5280358,-0.603249,2.4617202,-2.368878,0.2003567,4.4727674,0.9062155,-3.159102,0.005503773,1.2764783
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.5177794,-1.1741668,-0.3197004,-0.14285597,-0.5288134,-2.6451504,0.2003567,5.057223,1.1312975,-0.27976918,0.005503773,-1.4921786
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2147758,-1.1741668,0.397852,-0.4497847,-0.70143527,-2.062044,0.2003567,2.5338266,-0.04724688,-0.113566115,-0.48855305,1.1942763
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.070269,0.515555,0.25202492,-0.29632032,-0.672261,-1.4152032,0.2003567,0.72931284,-0.04724688,-0.14165556,-1.063588,-1.0471716
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.2569263,-1.4557872,-0.6374057,-0.14285597,0.17954123,-2.229847,0.2003567,4.242983,-1.0007093,0.18474373,1.0746915,0.83137244
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.3058949,-1.1741668,-0.92370987,0.01060837,0.57944405,-2.1344175,0.2003567,3.3117864,1.1312975,0.29346645,0.005503773,-1.4921786
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.119113,-1.4557872,0.28367704,0.77793014,0.36945167,-1.8178715,0.2003567,-0.21823898,-1.0007093,0.87382656,0.005503773,1.2764783
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-3.052075,-0.6109262,-0.086915456,-1.2171063,-0.59403217,0.08794733,0.55646324,-0.21823898,-0.04724688,-0.21697551,1.3268799,-0.6881231
