LULC,NDVI,Elevation,Slope,Curvature,Aspect,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI
0.42040575,-0.64358693,-1.1741667,0.25049827,-0.29632032,1.4660766,-0.67194307,-0.28186786,-0.05291182,-0.6564583,-1.0007092,-0.14196157
-1.4469265,-2.1908164,-0.8925464,0.3978061,0.1640727,1.7172327,-0.70142645,-1.7955242,0.8522694,-0.218239,-0.047246892,-0.11357452
0.42040575,0.87157375,1.3604162,1.3499616,-2.1378925,0.84647983,-0.85044223,-0.5896613,1.3655798,-0.218239,-0.047246892,0.029900221
0.42040575,-0.0448692,-0.32930577,-0.15476096,-0.44978467,1.6388994,-0.5761784,0.21685317,0.107542865,-0.6564583,-0.047246892,-0.2341653
-0.9800934,-0.40931153,0.79717547,-0.091256574,-0.14285597,-0.34906933,-0.5929151,-1.4239358,0.20035698,0.72931284,0.34769017,-0.21805093
0.42040575,-1.8843586,-1.7374073,-0.8750964,0.7779301,-0.57709366,1.424307,-1.0362912,0.11221291,-0.6564583,-0.047246892,1.1620107
-0.9800934,0.20919584,-0.04768546,1.7549311,-0.29632032,0.03418609,-0.8993671,-1.3926252,-0.39325085,0.5830131,-0.047246892,0.07700589
-1.4469265,-2.3190084,-0.8925464,-0.92370987,-0.44978467,-1.4025239,-0.2724745,-1.7002324,0.58034194,-0.6564583,0.34769017,-0.52657616
0.42040575,0.39761278,-0.32930577,-0.22277841,-1.5240351,-0.57709366,-0.5573731,-0.7177048,-0.29155797,-0.6564583,0.9062154,-0.25227135
0.42040575,0.1727819,1.3604162,-1.5280358,0.31753707,-1.4025239,2.4617202,-0.6394811,1.3592588,-0.218239,-0.047246892,-3.159102
-1.4469265,-2.7041862,-1.4557871,-0.154284,1.0848588,0.5089721,-0.57630694,-2.1953301,0.35811013,1.2027488,-0.047246892,-0.23404151
-1.4469265,-2.41721,0.23393485,-0.08751457,-1.3705708,0.8463756,-0.59387815,-1.3382874,0.55052674,-0.6564583,-1.0007092,-0.21712369
-1.4469265,-1.8926634,1.3604162,0.9727534,1.5452518,1.7602694,-0.79829115,-0.45437518,1.3525344,-0.6564583,-1.0007092,-0.02031165
-1.4469265,-2.8654697,-2.300648,-1.5280358,0.0106083695,-1.4025239,-0.32004067,-1.5402509,-0.08095135,2.4422202,-1.0007092,-0.048952807
-1.4469265,-2.7384555,-2.300648,-1.5280358,0.0106083695,-1.4025239,-0.32004067,-2.1395712,-0.08095135,2.766144,-0.047246892,-0.048952807
-1.4469265,-2.8033955,-2.300648,-1.5280358,0.0106083695,-1.4025239,-0.32004067,-1.2697961,-0.08095135,2.4422202,-0.047246892,-0.048952807
0.42040575,-0.62094206,-2.300648,-1.5280358,0.0106083695,-1.4025239,-0.32004067,-3.0350132,0.20035698,0.32342988,8.722737,-0.048952807
-0.9800934,-0.08941502,-0.32930577,0.252046,0.0106083695,-0.9689803,-0.41581225,-1.2315831,0.7418989,-0.6564583,1.6960896,0.10522841
-1.4469265,-1.8495269,-2.300648,-1.5280358,0.0106083695,-1.4025239,-0.32004067,-2.3527853,0.20035698,-0.218239,0.9062154,-0.048952807
-1.4469265,-2.9165027,-1.1741667,-0.8740132,-0.14285597,-0.57709366,-0.04524875,-2.131106,0.35806617,0.32342988,0.9062154,-0.25162026
-0.9800934,0.81676245,1.0787958,0.8861089,-0.75671333,0.24833664,-0.7852093,-0.45653298,-0.3942523,0.32342988,1.6960896,-0.03290708
