POINT_X,POINT_Y,LULC,NDVI,Elevation,Slope,Curvature,Aspect,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI,Class
290294.1278,2491813.62,1,-0.208454236,15,1.00395143,-2,270,4.043610489,0.000293207,,874.3386841,874.3386841,-4.043610489,1
289783.0424,2493925.767,1,-0.236870036,4,3.837717056,-7,195.1455994,2.701703186,0.000180282,,2846.640625,552.9803467,-2.701703186,0
287673.4517,2493719.319,1,-0.226514101,1,2.007532835,-2,270,6.183839201,0.000304056,,2737.113037,782.0322876,-0.517680978,0
288686.6125,2494344.187,1,-0.234045222,2,2.955519199,7,19.84497452,2.963471453,0.000218774,,3540.801758,552.9803467,-2.963471453,0
287157.3069,2495209.513,1,-0.239787117,5,1.366783619,-6,47.27618408,6.374215294,0.000222456,,4301.177734,782.0322876,-1.096489732,0
289735.0026,2492235.377,1,-0.174117252,13,1.366641283,2,132.7293396,3.735262105,0.00032869,,1409.828735,1173.048462,-3.735262105,0
289032.5739,2490904.629,1,-0.239074931,6,2.108304024,8,151.5758972,4.400232328,0.000337369,,0,391.0161438,-2.203188811,1
285480.0013,2492840.478,1,-0.258072495,0,1.366669416,11,312.728241,5.121535881,0.000204578,,2503.724854,0,-2.349261445,0
285243.5737,2494068.301,1,-0.258550644,4,1.854334116,-3,0,3.43004324,0.000187356,,3688.838867,552.9803467,-3.43004324,0
289229.9305,2492609.552,1,-0.208242372,13,5.040559292,-16,156.5853577,3.526624339,0.000366627,,1612.200928,1105.960693,-1.32947534,1
286264.7194,2494159.827,1,-0.26620689,1,6.802806854,8,227.2741699,2.126093276,0.000219169,,3224.401855,391.0161438,-2.126093276,0
288677.7376,2491041.135,1,-0.244529605,4,1.003898978,-4,270,5.653100629,0.000356547,,391.0161438,0,-2.434681188,1
289523.5606,2491561.57,1,-0.208718404,9,6.217754841,-14,53.53522491,2.216789925,0.00033164,,552.9803467,874.3386841,-2.216789925,0
285738.9043,2493139.489,1,-0.244420752,4,3.14878726,-1,252.8869324,2.900020365,0.000239003,,2279.996338,0,-2.900020365,0
288264.788,2492197.412,1,-0.215337619,2,4.09371233,10,312.7294617,2.636931363,0.000420621,,1173.048462,552.9803467,-2.636931363,0
290482.5286,2491837.326,1,-0.221403286,13,6.541050911,-11,171.208847,3.264296554,0.000271248,,782.0322876,552.9803467,-1.067130116,1
286291.9626,2494035.3,1,-0.245306179,8,2.955511093,-16,340.1554565,2.9634742,0.000219169,,3224.401855,391.0161438,-2.9634742,0
290331.5668,2492477.812,1,-0.210582629,12,1.003995776,-8,270,4.043566335,0.000303276,,1612.200928,782.0322876,-4.043566335,0
287458.4858,2492241.786,1,-0.217020631,3,1.366641283,5,227.2706604,3.735262105,0.000395293,,1173.048462,391.0161438,-3.735262105,0
284862.4033,2494010.552,1,-0.252961457,3,0,3,0,11.51292546,,,,,-11.51292546,0
289615.9269,2491169.918,1,-0.225059554,8,2.780288458,4,0,3.717828236,0.000290243,,552.9803467,782.0322876,-2.331636818,0
289451.1003,2493089.879,1,-0.242977872,12,2.780288458,-14,180,3.024681056,0.000344085,,1993.79895,874.3386841,-3.024681056,0
286303.8311,2492017.885,1,-0.21868664,5,5.895288467,-16,160.1578522,2.270438979,0.000324898,,1409.828735,391.0161438,-2.270438979,0
284904.583,2495175.691,1,-0.281374574,1,4.415920258,6,114.7862854,2.560898433,0.000151317,,4724.666016,874.3386841,-2.560898433,0
290066.8353,2493296.287,1,-0.22748962,4,1.854334116,5,180,3.43004324,0.000225791,,2378.458252,391.0161438,-3.43004324,0
284639.6701,2495548.431,1,-0.267545462,3,3.427608252,-2,324.1755371,3.508150555,9.42E-05,,5246.032227,1173.048462,-2.121939663,0
288899.0244,2494508.277,1,-0.22232832,7,3.427532673,-12,144.1772919,2.815025473,0.000166214,,3519.145264,552.9803467,-2.815025473,1
289186.5037,2494246.918,1,-0.21436432,3,3.837722301,2,344.8540955,2.701701816,0.000222504,,3128.12915,391.0161438,-2.701701816,1
287597.5653,2492598.359,1,-0.241983086,3,2.780288458,3,0,3.717828236,0.000401732,,1564.064575,0,-2.331636818,0
288324.9796,2494192.502,1,-0.241078436,5,3.009851217,-8,270,5.989748131,0.000266235,,3128.12915,552.9803467,0.099115634,0
286908.2053,2493768.713,1,-0.241783127,4,5.33712244,6,69.72317505,2.370535089,0.000271377,,2737.113037,391.0161438,-2.370535089,0
